id_user,id_film,nama_user,tanggal_user,isi_user,rating_user
40223,10022,daryopeek,30-Mar-19,A great sitcom formula; but a major no for a movie sequel,5
40352,10041,daryopeek,2-Jan-24,Soap opera on the big screen,6
40379,10048,daryopeek,18-Apr-19,An excellent cultural appreciation movie,8
40259,10028,david-161-28390,26-Jan-20,More than a great film,10
40280,10031,deasy0deasy,22-Jun-05,What a surprise!,10
40125,10011,deliasayang,6-Jan-05,Better than most Hollywood teen movies; for sure.,8
40147,10013,densussiregar,24-Aug-22,Complicated Story & Bad Action,1
40327,10036,devianiastari,15-Oct-20,Jujur sedikit membosankan (6.5) ; namun bermakna,6
40204,10018,devilapolo,10-Feb-17,Good Job Another Indonesian Movie,10
40287,10031,diannndra,22-May-05,a one day journey of a delivery role film boy,6
40257,10028,DICK STEEL,16-Mar-13,A Nutshell Review: Habibie & Ainun,8
40316,10036,diggul,6-Sep-20,Very touching,10
40303,10033,dindaidrd,10-Feb-17,Deep meaningful story,9
40055,10004,divinalondon,19-Jan-22,Whaaaat?,1
40243,10026,djamessaurus,11-Jun-19,One good movie; worth to watch.,8
40169,10014,elder-81604,28-Oct-21,"Indonesian indie-darling ""Yuni"" tantilizes in its mature and contemporary slant on coming of age",9
40328,10036,elikrisnawati,15-Sep-20,This film make me cry; but laugh😂,9
40266,10030,elisellenn,22-Mar-19,Garbage,1
40203,10018,emir-adenaury,24-Feb-17,An honest Indonesian movie about family,8
40263,10030,emir-adenaury,4-Mar-18,Average.,5
40180,10015,ephenys,30-Dec-19,Awesome family movie to watch !,10
40072,10005,evelynsimorangkir,31-Jul-22,Good,8
40035,10004,exceladeogun,16-Jan-22,Toptier!,10
40274,10030,fahrezi_c,8-Mar-18,COMEDY,10
40344,10038,faithfullmarx,30-Apr-07,mixed of the killing; kill bill; and crouching tiger hidden dragon...,5
40401,10052,farhannurdiansyah,8-Feb-20,"Inconsistency, Incompetency",3
40273,10030,farrellnaofal,6-Mar-18,Comedy,10
40096,10009,fayreview,2-Sep-22,best indonesian heist movie in 2022!,9
40007,10003,Fella_shibby,10-Jun-18,A very creepy n scary horror film with solid character development n atmosphere.,9
40384,10049,fernaldyputrawijaya,15-Dec-23,This shouldn't be a movie -- maybe a 15 minute video,2
40232,10024,fernallfn,23-May-16,Below Expectation,3
40196,10016,ferryvisual,18-Sep-19,A heartwarming movie that touched me from beginning to finished,10
40138,10012,feryantt,23-Aug-22,The star is not for Ariel Tatum. I would die for Ariel Tatum,1
40168,10014,FilmFlowCritics,9-Nov-21,A glimpse of a very different culture,7
40382,10048,finlayson-m,24-Apr-19,A Masterpiece,10
40338,10037,FinnTalks,23-Mar-21,Possesssheet,2
40393,10051,FinnTalks,23-Mar-21,Possesssheet,2
40154,10013,fitriyantoandi,19-Aug-22,We need more like this,10
40088,10008,frans_xavier,21-Oct-22,A Soapy Film with Telenovela Style,1
40340,10038,frereloupe9,12-Sep-07,Nevermind the Fellowship of the Ring; here comes The Deadtime Possee!!!,10
40233,10024,friddenelgar,8-May-16,The whole Movie all about,5
40326,10036,friskasesillia,20-Sep-20,Juarakkkkkkkkkkk,10
40079,10006,fvhimawan,27-Mar-23,Insufficient Character Build Up,6
40030,10003,gavin6942,24-Jun-18,Indonesia Brings Its A-Game,8
40132,10011,gc_susetyo,12-Mar-06,Breakthrough (by the way; this also contains a spoiler for The Prince And Me),9
40254,10027,gc_susetyo,28-Apr-06,Not perfect; but good job nevertheless,7
40024,10003,gedikreverdi,6-Jun-21,It needs better actors and a script,4
40291,10031,gembel,4-May-05,although its not the best Indonesian movie; but it still interesting to see it,9
40076,10006,geraldkweesar,31-Mar-23,An Improvement; But Still Isnt Good,5
40130,10011,gila_film,15-Dec-02,Positive teen flick,8
40277,10031,gila_film,16-Jun-05,A cool comedy with an intention to entertains,8
40242,10025,gsajuti,16-May-20,A great movie for those who love to explore culinary.,8
40070,10005,HafizhMaulana21,24-Nov-22,A family drama film full of meaning and empathy with cultural beauty,10
40099,10009,HafizhMaulana21,24-Nov-22,The best theft film owned by Indonesia,10
40201,10017,HafizhMaulana21,24-Nov-22,Exciting; suspenseful; and interesting drama stories,8
40247,10026,HafizhMaulana21,17-Jun-23,Nice; moved; but less nervous,6
40358,10043,haitsamrafid,2-Jan-24,Read this even tho im a bit biased.,9
40144,10013,hamzahanaz-64757,22-Aug-22,The actors are good; the acting is also good; but the movie feels boring and the story is easy to gues.,1
40062,10005,hans-panjaitan-330-89832,7-Jul-22,Truly Bataknese family,9
40123,10011,harve_p,25-Mar-02,Memories and reflections from high school,8
40297,10032,haziqmuhyidin,22-May-16,A movie that serves direct relate-able humour; witty lines; and great comedic timing.,9
40366,10045,Herlinda_Marlina,29-Aug-19,"Dark, Gritty, and Little Bit Fuzzy",7
40321,10036,herusyofuan,9-Sep-20,Inspiration,9
40067,10005,hiapakabarsehat,18-Jun-22,Best Family Movie,10
40012,10003,hiraishinnojutsu,29-Sep-17,much better than the original movie,7
40153,10013,hopemylifebebetter,23-Aug-22,Nonsense,1
40041,10004,Horror_Flick_Fanatic,23-Jan-22,absurd movie,4
40356,10042,hoshinokek,9-May-22,Genre Confusion and Lackluster Horror,5
40052,10004,hprabowo,15-Jan-22,One of Indonesias finest,9
40109,10010,iamianiman,4-Oct-19,Dua Garis Biru crosses the line to reaching its good title.,7
40044,10004,iamMarkPrice,15-Jan-22,So powerful you must watch,8
40033,10004,icocleric,13-Jan-22,Very Powerful,9
40189,10016,ignsyndrome,26-Jul-19,Beautiful Movie,9
40143,10013,ilhamdb,23-Aug-22,Dont get the hate,9
40020,10003,ilovepakjejen,30-Sep-17,The Best Indonesian Horror Movie of all time,8
40202,10018,imdberc,7-Feb-17,My Top Indonesian Movie,9
40094,10009,inayatulfm,13-Dec-22,Indonesian action films recommended!,8
40289,10031,incubrus,17-Apr-06,excellent intro; bad middle and end.,6
40112,10010,ini_ynti-22457,10-Mar-20,Enjoyable,7
40206,10018,ini_ynti-22457,26-Oct-17,So wonderful!,9
40387,10050,ini_ynti-22457,23-Jul-19,Not Bad,6
40347,10040,intanlestarict,5-Apr-22,The Worst Movie Ever,1
40374,10046,intanlestarict,5-Apr-22,The Worst Movie Ever,1
40116,10010,ioyreviewee,10-Jun-20,Good? Yes. A bit overrated? Absolutely!,6
40288,10031,iphien-keren,29-Apr-06,Wonderful script; the acting can be better,8
40150,10013,irdenihartono,22-Aug-22,garbage movie,1
40381,10048,irfanyasykur,12-Oct-19,wow,10
40360,10043,jasminetanujaya,12-Jan-24,Left a bad taste in my mouth,3
40391,10050,jelassienis,4-Jan-23,absolutely beautiful,10
40157,10013,joechaniagojc,23-Aug-22,Nothing special,1
40026,10003,JoelChamp85,27-Mar-21,Not Bad But Nothing Too Original,5
40230,10023,jonbudi,1-Mar-17,Teen romance drama,8
40152,10013,jouirvan,19-Aug-22,My Favorit Film,10
40362,10044,jpmills-35666,11-Jan-21,Untold Story,7
40188,10016,juliusalexs,3-Jan-19,Good Movie,9
40158,10013,kadrunjahanam,19-Aug-22,So nice,10
40038,10004,kamalbeeee,5-Mar-22,Good mystery thriller..!!,7
40013,10003,kannibalcorpsegrinder,27-Oct-17,Absolutely stellar Indonesian feature,10
40306,10034,Karamakate,1-Feb-19,"A stunning Indonesian ""Alice in Wonderland""",9
40197,10016,karismaputrime,10-Jan-19,One of good movie in 2019,9
40222,10021,kelul,21-Oct-20,Something New,6
40119,10011,kevin_blaze,24-Jul-02,The best Indonesian movie ever made with great storyline; setting; casting and soundtrack!,10
40244,10026,Khaskhask,7-Jun-19,GOKIL TO THE MAX,10
40265,10030,Khaskhask,21-Jul-18,Above 7.5 rating? Really?,3
40279,10031,killbill_tarantino2003,20-Sep-05,"""Janji Joni"" rocks the world!",10
40036,10004,kindredparadox,16-Jan-22,Forced Idea; Well Executed,6
40249,10027,king_vsjn,12-Aug-05,A good attempt of non-documentary biography from Indonesia,8
40177,10015,klemenaslan,25-Dec-19,Nice movie...,9
40008,10003,kosmasp,13-Feb-19,Flawed but really good,9
40037,10004,kosmasp,27-Jan-22,Impact vs. execution,7
40120,10011,kvnbrghtn,22-Oct-04,The start of Indonesias comeback,10
40069,10005,ladyroockerz,24-Apr-23,Great storyline!,9
40135,10011,laruelle,17-Nov-02,A fresh view over Indonesian society,10
40183,10015,laurentsita,2-Jan-20,Its nice but..,8
40301,10032,laywilliam,8-Jun-16,It is not as good as expected,6
40025,10003,lcanderson-13864,6-Oct-18,Indonesian Conjuring meets Sadako meets the Woman in Black meets cult home invasion,5
40186,10016,LDRmuffin,4-Jan-19,Heartwarming!,8
40332,10037,LDRmuffin,11-Nov-18,Quite impressive!,9
40218,10021,LedyMissy,29-Dec-15,Have a Bit of Taste of What Friendship; Love; and Life is Like in This Finely Scripted Movie; 5 cm,7
40127,10011,lee-90,12-Jan-03,great story about love,10
40350,10040,lemonmishal,11-Oct-20,Be warned- movie is a comedy horror,1
40375,10046,lemonmishal,11-Oct-20,Be warned- movie is a comedy horror,1
40193,10016,leonihang,7-Jan-19,True Value of Family - Priceless!,9
